Sire,DAMage,Line,weight
11,1,1,6.2
12,1,1,13
13,1,1,9.5
13,1,1,10.1
13,1,1,11.4
13,2,1,11.8
13,3,1,12.9
13,3,1,13.1
14,1,1,10.4
14,2,1,8.5
21,3,2,13.5
22,2,2,10.1
22,3,2,11
22,3,2,14
22,3,2,15.5
23,1,2,12
24,1,2,11.5
24,3,2,10.8
31,2,3,9
31,3,3,9.5
31,3,3,12.6
32,1,3,11
32,2,3,10.1
32,2,3,11.7
32,3,3,8.5
32,3,3,8.8
32,3,3,9.9
32,3,3,10.9
32,3,3,11
32,3,3,13.9
33,1,3,11.6
33,3,3,13
34,2,3,12
41,1,4,9.2
41,1,4,10.6
41,1,4,10.6
41,3,4,7.7
41,3,4,10
41,3,4,11.2
42,1,4,10.2
42,1,4,10.9
43,1,4,11.7
43,3,4,9.9
51,1,5,11.7
51,1,5,12.6
52,1,5,9
52,3,5,11
53,3,5,9
53,3,5,12
54,3,5,9.9
55,2,5,13.5
56,2,5,10.9
56,3,5,5.9
57,2,5,10
57,2,5,12.7
57,3,5,13.2
57,3,5,13.3
58,1,5,10.7
58,1,5,11
58,1,5,12.5
58,3,5,9
58,3,5,10.2
